fid,username,reactions_received,total_casts,reaction_cast_ratio
548599,"<a href=""https://warpcast.com/hongthatcong"" target=""_blank"">hongthatcong</a>",1,34,0.029411764705882353
534347,"<a href=""https://warpcast.com/kingjoker"" target=""_blank"">kingjoker</a>",3,101,0.0297029702970297
441086,"<a href=""https://warpcast.com/fortnite-news"" target=""_blank"">fortnite-news</a>",16,536,0.029850746268656716
504497,"<a href=""https://warpcast.com/orasia"" target=""_blank"">orasia</a>",5,166,0.030120481927710843
504482,"<a href=""https://warpcast.com/kolkerder"" target=""_blank"">kolkerder</a>",5,165,0.030303030303030304
524679,"<a href=""https://warpcast.com/shabrin6627"" target=""_blank"">shabrin6627</a>",4,132,0.030303030303030304
535549,"<a href=""https://warpcast.com/meownot"" target=""_blank"">meownot</a>",1,33,0.030303030303030304
507075,"<a href=""https://warpcast.com/fendor"" target=""_blank"">fendor</a>",25,824,0.03033980582524272
261078,"<a href=""https://warpcast.com/cnabdjejiwu"" target=""_blank"">cnabdjejiwu</a>",32,1051,0.030447193149381543
261643,"<a href=""https://warpcast.com/hyfvd"" target=""_blank"">hyfvd</a>",20,656,0.03048780487804878
508103,"<a href=""https://warpcast.com/coamtuai"" target=""_blank"">coamtuai</a>",25,818,0.030562347188264057
543551,"<a href=""https://warpcast.com/artemtiu"" target=""_blank"">artemtiu</a>",3,98,0.030612244897959183
271687,"<a href=""https://warpcast.com/namamam"" target=""_blank"">namamam</a>",30,975,0.03076923076923077
507469,"<a href=""https://warpcast.com/danhkonoi"" target=""_blank"">danhkonoi</a>",25,808,0.03094059405940594
421934,"<a href=""https://warpcast.com/nwachukwu"" target=""_blank"">nwachukwu</a>",1,32,0.03125
541453,"<a href=""https://warpcast.com/ux24641"" target=""_blank"">ux24641</a>",1,32,0.03125
525621,"<a href=""https://warpcast.com/ragibrahman"" target=""_blank"">ragibrahman</a>",1,32,0.03125
446896,"<a href=""https://warpcast.com/betramm"" target=""_blank"">betramm</a>",7,224,0.03125
507537,"<a href=""https://warpcast.com/thatghe"" target=""_blank"">thatghe</a>",25,796,0.031407035175879394
261272,"<a href=""https://warpcast.com/xmakjdiw"" target=""_blank"">xmakjdiw</a>",33,1038,0.031791907514450865
264730,"<a href=""https://warpcast.com/palowoodj"" target=""_blank"">palowoodj</a>",32,1006,0.03180914512922465
264820,"<a href=""https://warpcast.com/lochi"" target=""_blank"">lochi</a>",33,1035,0.03188405797101449
