fid,username,reactions_received,total_casts,reaction_cast_ratio
212737,"<a href=""https://warpcast.com/crypt0sm0g"" target=""_blank"">crypt0sm0g</a>",1,50,0.02
313584,"<a href=""https://warpcast.com/ryangosling"" target=""_blank"">ryangosling</a>",1,49,0.02040816326530612
244923,"<a href=""https://warpcast.com/zeeztewo"" target=""_blank"">zeeztewo</a>",2,97,0.020618556701030927
267040,"<a href=""https://warpcast.com/kiiiiiieeeemm"" target=""_blank"">kiiiiiieeeemm</a>",17,820,0.020731707317073172
266163,"<a href=""https://warpcast.com/mmakakaka"" target=""_blank"">mmakakaka</a>",19,915,0.020765027322404372
18949,"<a href=""https://warpcast.com/ntest"" target=""_blank"">ntest</a>",7,336,0.020833333333333332
271784,"<a href=""https://warpcast.com/hhhhhhhom"" target=""_blank"">hhhhhhhom</a>",20,958,0.020876826722338204
479809,"<a href=""https://warpcast.com/requssant"" target=""_blank"">requssant</a>",13,622,0.02090032154340836
508418,"<a href=""https://warpcast.com/bightnooo"" target=""_blank"">bightnooo</a>",16,761,0.02102496714848883
274709,"<a href=""https://warpcast.com/mooppploico"" target=""_blank"">mooppploico</a>",19,902,0.02106430155210643
389674,"<a href=""https://warpcast.com/optimism-bot"" target=""_blank"">optimism-bot</a>",134,6356,0.021082441787287604
467384,"<a href=""https://warpcast.com/hien"" target=""_blank"">hien</a>",1,47,0.02127659574468085
271846,"<a href=""https://warpcast.com/gggg12345"" target=""_blank"">gggg12345</a>",20,934,0.021413276231263382
508123,"<a href=""https://warpcast.com/lantruong"" target=""_blank"">lantruong</a>",17,785,0.02165605095541401
463998,"<a href=""https://warpcast.com/dirzo"" target=""_blank"">dirzo</a>",1,46,0.021739130434782608
255800,"<a href=""https://warpcast.com/maakqokdjd"" target=""_blank"">maakqokdjd</a>",23,1056,0.021780303030303032
507092,"<a href=""https://warpcast.com/topaz"" target=""_blank"">topaz</a>",18,824,0.021844660194174758
255539,"<a href=""https://warpcast.com/qpqifjjw"" target=""_blank"">qpqifjjw</a>",22,1005,0.021890547263681594
267223,"<a href=""https://warpcast.com/ooookkkbaby"" target=""_blank"">ooookkkbaby</a>",19,865,0.021965317919075144
266095,"<a href=""https://warpcast.com/koiooopo"" target=""_blank"">koiooopo</a>",21,951,0.022082018927444796
512843,"<a href=""https://warpcast.com/susise"" target=""_blank"">susise</a>",5,224,0.022321428571428572
512915,"<a href=""https://warpcast.com/phongnha"" target=""_blank"">phongnha</a>",5,224,0.022321428571428572
441086,"<a href=""https://warpcast.com/fortnite-news"" target=""_blank"">fortnite-news</a>",12,533,0.0225140712945591
523077,"<a href=""https://warpcast.com/kamronbek"" target=""_blank"">kamronbek</a>",3,133,0.022556390977443608
321775,"<a href=""https://warpcast.com/ions"" target=""_blank"">ions</a>",1,44,0.022727272727272728
508437,"<a href=""https://warpcast.com/gooooood"" target=""_blank"">gooooood</a>",18,787,0.022871664548919948
572078,"<a href=""https://warpcast.com/mercy131415926"" target=""_blank"">mercy131415926</a>",1,43,0.023255813953488372
245831,"<a href=""https://warpcast.com/mr-vibranium"" target=""_blank"">mr-vibranium</a>",2,86,0.023255813953488372
507565,"<a href=""https://warpcast.com/pollllmay"" target=""_blank"">pollllmay</a>",19,810,0.02345679012345679
259919,"<a href=""https://warpcast.com/xmcncnjsk"" target=""_blank"">xmcncnjsk</a>",25,1058,0.023629489603024575
507033,"<a href=""https://warpcast.com/hapeo"" target=""_blank"">hapeo</a>",19,799,0.023779724655819776
521277,"<a href=""https://warpcast.com/sanegoru"" target=""_blank"">sanegoru</a>",1,42,0.023809523809523808
272018,"<a href=""https://warpcast.com/vgggert"" target=""_blank"">vgggert</a>",23,965,0.02383419689119171
521286,"<a href=""https://warpcast.com/kagebunshin"" target=""_blank"">kagebunshin</a>",2,83,0.024096385542168676
521087,"<a href=""https://warpcast.com/papaenak"" target=""_blank"">papaenak</a>",2,83,0.024096385542168676
264899,"<a href=""https://warpcast.com/bimbimno1"" target=""_blank"">bimbimno1</a>",22,908,0.024229074889867842
513391,"<a href=""https://warpcast.com/kimxuann"" target=""_blank"">kimxuann</a>",20,825,0.024242424242424242
445766,"<a href=""https://warpcast.com/benisatiaw2"" target=""_blank"">benisatiaw2</a>",1,41,0.024390243902439025
420028,"<a href=""https://warpcast.com/rivervillage"" target=""_blank"">rivervillage</a>",3,122,0.02459016393442623
521255,"<a href=""https://warpcast.com/beloksikit"" target=""_blank"">beloksikit</a>",2,81,0.024691358024691357
440313,"<a href=""https://warpcast.com/daoko"" target=""_blank"">daoko</a>",2,81,0.024691358024691357
252232,"<a href=""https://warpcast.com/xmajdj"" target=""_blank"">xmajdj</a>",24,972,0.024691358024691357
498134,"<a href=""https://warpcast.com/3d1t"" target=""_blank"">3d1t</a>",959,38729,0.02476180639830618
507038,"<a href=""https://warpcast.com/tieudada"" target=""_blank"">tieudada</a>",21,848,0.024764150943396228
514872,"<a href=""https://warpcast.com/jullyan"" target=""_blank"">jullyan</a>",3,121,0.024793388429752067
255636,"<a href=""https://warpcast.com/amxoosjc"" target=""_blank"">amxoosjc</a>",25,1008,0.0248015873015873
489156,"<a href=""https://warpcast.com/3dit"" target=""_blank"">3dit</a>",968,38822,0.024934315594250682
261643,"<a href=""https://warpcast.com/hyfvd"" target=""_blank"">hyfvd</a>",16,639,0.025039123630672927
550822,"<a href=""https://warpcast.com/dorakid"" target=""_blank"">dorakid</a>",1,39,0.02564102564102564
528279,"<a href=""https://warpcast.com/mparkmall"" target=""_blank"">mparkmall</a>",1,39,0.02564102564102564
462145,"<a href=""https://warpcast.com/farlaunchbot"" target=""_blank"">farlaunchbot</a>",63,2456,0.025651465798045604
507461,"<a href=""https://warpcast.com/hoadazzz"" target=""_blank"">hoadazzz</a>",19,736,0.025815217391304348
508091,"<a href=""https://warpcast.com/vuongtai01"" target=""_blank"">vuongtai01</a>",21,809,0.02595797280593325
244128,"<a href=""https://warpcast.com/degentokenbase"" target=""_blank"">degentokenbase</a>",1448,55334,0.02616835941735642
548479,"<a href=""https://warpcast.com/bsc11"" target=""_blank"">bsc11</a>",1,38,0.02631578947368421
326770,"<a href=""https://warpcast.com/ardji"" target=""_blank"">ardji</a>",1,38,0.02631578947368421
266952,"<a href=""https://warpcast.com/cmakaka"" target=""_blank"">cmakaka</a>",22,836,0.02631578947368421
511081,"<a href=""https://warpcast.com/aneesawan"" target=""_blank"">aneesawan</a>",1,38,0.02631578947368421
266218,"<a href=""https://warpcast.com/spapwpwpw"" target=""_blank"">spapwpwpw</a>",26,987,0.02634245187436677
508391,"<a href=""https://warpcast.com/koirbgt"" target=""_blank"">koirbgt</a>",15,567,0.026455026455026454
